1000	0.00	0.00	0.00
2000	0.01	0.01	0.00
3000	0.03	0.04	0.00
4000	0.06	0.08	0.01
5000	0.10	0.12	0.02
6000	0.14	0.18	0.03
7000	0.19	0.24	0.04
8000	0.25	0.31	0.06
9000	0.33	0.40	0.08
10000	0.39	0.58	0.09
11000	0.48	0.59	0.11
12000	0.57	0.75	0.14
13000	0.67	0.82	0.16
14000	0.78	0.96	0.19
15000	0.89	1.10	0.21
16000	1.01	1.26	0.24
17000	1.15	1.42	0.27
18000	1.29	1.59	0.30
19000	1.43	1.78	0.34
20000	1.58	1.97	0.38
21000	1.75	2.16	0.41
22000	1.92	2.37	0.45
23000	2.10	2.59	0.50
24000	2.30	2.85	0.54
25000	2.59	3.13	0.59
26000	2.69	3.31	0.64
27000	2.90	3.65	0.70
28000	3.21	3.90	0.75
29000	3.35	4.63	0.80
30000	3.59	4.43	0.85
31000	3.82	5.09	0.90
32000	4.07	5.17	0.98
33000	4.44	5.38	1.06
34000	4.62	5.71	1.10
35000	4.85	6.02	1.15
36000	5.17	6.55	1.23
37000	5.41	6.74	1.29
38000	5.74	7.13	1.36
39000	6.25	7.64	1.46
40000	6.38	7.89	1.51
41000	6.67	8.41	1.57
42000	7.14	8.65	1.67
43000	7.36	9.13	1.74
44000	7.71	9.57	1.88
45000	8.29	10.81	1.94
46000	8.44	10.41	2.01
47000	8.83	11.01	2.09
48000	9.40	11.46	2.22
49000	9.58	11.94	2.29
50000	10.15	12.70	2.44
